,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
ぐ,2,35,43,1,1,3,13,22,4,5,1,5,10,0,1,0,6,7,2,5,2,3,0,1,4,0,0,1,0,0,6,4,3,3,1,2,2,8,4,15,10,1,2,2,0,0,2,12,1,0,1,5,2,4,0,3,0,0,1,11,1,4,8,0,1,1,2,6,0,0
げ,1,81,103,0,1,16,25,53,0,7,0,15,8,1,3,5,6,40,2,10,2,1,0,0,1,4,0,0,0,1,3,3,5,2,0,12,8,9,6,16,8,2,1,3,0,6,4,0,5,3,1,10,1,1,0,2,0,0,1,3,3,1,0,0,1,1,1,3,0,1
ご,0,86,174,6,5,16,42,74,9,14,4,43,5,3,5,10,40,34,3,14,3,4,0,5,4,2,3,8,0,3,15,12,5,9,2,22,3,4,13,16,8,1,11,6,0,0,13,1,6,12,4,18,6,4,0,2,0,0,0,6,3,3,3,1,2,1,0,3,0,1
ざ,1,39,76,0,1,9,26,33,2,3,0,13,5,2,2,6,12,20,1,5,2,3,1,3,0,0,1,1,0,1,5,2,5,4,0,5,1,9,5,3,5,2,3,6,0,3,2,0,3,1,4,4,2,0,1,0,0,0,0,2,2,0,3,0,0,0,1,0,0,0
じ,4,301,438,11,5,41,108,186,7,14,7,77,7,2,8,13,53,111,9,24,7,6,0,5,7,5,8,13,0,3,13,10,17,7,9,42,26,56,21,65,23,9,16,9,0,4,17,7,5,18,2,40,9,3,0,7,0,0,2,10,8,8,8,1,4,3,3,12,0,0
ず,0,18,19,3,0,0,8,5,2,0,1,6,1,0,0,3,2,6,0,2,0,1,0,0,0,0,0,2,0,0,0,3,1,1,1,0,0,3,4,2,1,4,1,0,0,3,0,0,0,0,0,2,4,0,0,3,0,0,0,0,1,1,1,0,1,0,0,1,0,0
ぜ,0,56,69,0,0,6,12,44,4,2,0,9,1,2,0,2,4,16,2,5,1,4,0,1,0,0,2,2,0,0,3,7,4,1,1,8,0,6,2,5,2,0,3,0,0,0,1,1,0,4,1,4,0,0,0,1,0,0,0,5,3,0,4,0,0,1,1,2,0,0
ぞ,0,36,39,0,2,6,7,16,4,0,1,6,0,0,0,1,4,12,0,5,0,3,0,1,1,1,0,1,0,2,1,0,0,0,0,2,3,3,1,6,0,0,2,0,0,1,0,0,2,3,0,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
だ,2,105,115,1,2,10,27,51,4,6,3,37,10,1,2,2,14,30,5,22,5,7,1,1,10,2,5,3,0,3,9,7,8,5,2,13,8,8,9,27,18,10,3,6,0,3,8,8,1,4,2,22,5,1,0,11,0,0,3,10,4,4,3,1,1,0,2,1,0,1
ぢ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
づ,0,3,4,1,0,0,2,1,0,0,0,2,0,0,0,0,2,1,1,2,1,1,0,0,1,1,0,0,0,0,2,2,0,1,0,3,1,0,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
