,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
み,80,496,1031,102,163,227,563,384,109,257,71,464,303,26,16,163,469,143,50,252,75,82,13,53,99,30,10,65,2,29,227,185,121,62,38,219,56,110,357,274,309,37,155,162,0,32,63,49,40,33,23,135,119,14,4,45,1,3,30,102,49,37,83,14,13,11,7,40,0,6
む,17,195,298,25,40,60,161,152,27,37,34,144,53,3,6,53,107,57,11,68,19,33,2,19,37,10,7,25,0,2,56,57,47,17,12,66,25,26,87,77,90,18,49,40,0,20,24,14,21,12,6,44,21,5,1,16,0,0,13,48,15,13,29,4,4,1,1,6,0,2
め,66,206,305,23,29,68,95,195,14,33,24,118,235,8,9,66,62,77,34,138,40,20,9,25,29,11,4,50,0,1,52,32,83,29,7,70,34,36,97,99,206,21,53,24,0,21,18,43,4,9,20,45,63,6,1,26,0,0,21,102,19,13,23,5,6,7,2,31,4,4
も,47,261,470,54,77,99,239,237,52,105,43,191,152,16,8,74,142,92,38,203,54,42,8,31,40,34,9,39,0,6,74,86,39,33,32,120,48,49,118,176,209,45,74,61,0,35,29,36,21,26,18,88,78,7,4,26,0,0,25,80,21,17,32,11,9,8,3,11,3,5
や,15,315,723,79,165,108,333,249,73,166,62,384,103,19,10,107,311,92,21,138,55,42,6,32,40,12,6,31,2,13,118,157,52,47,41,175,34,67,173,202,131,21,125,98,0,40,51,24,21,22,13,129,55,5,0,44,0,1,23,49,46,20,52,18,10,2,1,19,0,2
ゆ,49,229,404,45,25,102,206,173,43,115,30,98,133,6,7,51,112,122,28,100,45,33,2,15,31,11,8,40,1,7,77,71,48,22,20,96,32,30,85,123,113,15,41,53,0,20,31,22,17,12,14,59,41,2,0,14,0,1,13,44,17,15,13,4,1,1,3,15,2,4
よ,17,299,709,66,103,103,286,243,63,151,69,220,86,15,12,59,203,136,15,135,34,24,3,43,36,16,11,25,0,11,85,131,48,34,18,118,22,63,125,169,112,25,85,79,0,38,40,30,13,27,5,89,52,5,3,37,0,2,17,47,29,29,42,6,6,7,0,15,1,2
ら,122,178,313,21,36,73,82,260,15,28,48,66,316,15,8,90,64,84,49,238,86,35,20,10,27,28,9,71,0,4,83,20,119,15,5,78,74,33,119,109,306,27,47,41,0,30,21,103,7,24,29,49,127,11,0,54,1,0,31,143,40,20,52,9,11,17,7,52,2,5
り,81,439,837,36,38,116,193,403,47,77,54,154,271,11,9,112,147,167,48,255,59,33,8,29,35,33,18,73,0,10,78,45,127,22,18,103,67,66,148,142,311,30,59,34,0,38,32,82,17,22,15,88,107,12,2,24,0,0,22,165,34,26,67,6,14,12,4,40,6,4
る,59,77,51,23,21,33,33,108,7,23,13,23,139,3,5,29,18,29,24,79,32,29,10,11,28,7,10,46,1,2,16,12,33,5,2,18,27,20,42,38,163,11,23,17,0,15,3,31,6,12,8,20,33,8,3,25,0,0,9,45,13,7,5,8,7,5,4,17,5,1
れ,94,227,278,21,30,67,102,236,9,48,23,49,253,7,7,72,51,97,26,170,52,28,7,23,15,3,8,43,0,2,46,19,95,13,3,61,32,35,67,72,178,20,28,19,0,31,22,56,8,20,21,46,85,2,5,35,2,0,23,135,30,7,32,2,10,9,5,23,3,4
ろ,79,252,428,28,27,63,93,269,15,35,18,85,277,10,11,88,67,109,41,184,56,50,12,14,26,13,8,60,1,6,52,33,97,9,4,66,30,36,91,104,262,9,71,37,0,26,29,80,9,24,21,52,113,10,6,31,0,0,21,137,31,26,32,2,10,16,4,42,1,3
わ,33,177,334,23,50,64,144,184,28,54,36,143,103,9,4,62,146,58,20,105,41,38,3,8,40,5,2,43,0,7,62,76,60,21,13,70,14,36,71,99,111,20,47,47,0,22,18,45,7,13,8,55,80,0,0,34,1,3,11,79,17,22,36,11,3,9,0,30,1,2
ゔ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が,67,264,405,23,18,63,111,233,13,19,28,84,140,6,6,80,62,101,14,103,39,25,5,19,29,11,7,33,0,4,43,34,61,14,7,79,34,35,86,73,127,17,39,29,0,42,12,32,4,21,6,29,50,7,2,20,0,0,20,78,21,15,32,2,11,5,4,20,2,2
ぎ,16,214,391,8,12,24,67,180,7,26,14,107,83,4,3,26,61,63,19,64,12,11,6,19,5,5,7,21,0,5,33,20,31,15,9,57,25,46,58,55,84,13,26,21,0,28,46,20,4,10,27,43,40,1,2,15,0,0,9,36,10,10,17,4,3,4,2,20,2,2
ぐ,73,128,214,12,17,42,69,179,10,25,17,57,200,4,11,45,51,55,31,153,48,30,6,8,29,13,3,68,0,2,33,21,83,6,9,39,34,25,65,77,205,21,23,17,0,10,13,85,3,8,14,45,65,24,2,34,0,1,16,107,25,19,30,5,8,15,5,49,4,3
げ,22,267,424,21,9,69,117,215,4,32,16,81,95,6,5,47,51,121,15,82,33,11,0,11,12,13,7,29,0,3,32,24,39,5,8,68,28,33,62,60,82,9,18,10,0,23,22,31,13,21,20,36,34,5,2,20,0,0,11,44,14,7,22,1,4,6,1,20,0,4
ご,24,198,414,22,23,46,116,153,21,25,13,89,101,4,9,48,93,80,12,74,10,11,3,17,14,7,5,32,1,6,58,36,47,19,7,64,15,22,76,46,89,9,41,32,0,17,22,21,12,42,12,53,43,6,3,31,0,0,12,57,23,17,26,2,9,8,0,16,0,2
ざ,18,128,168,13,6,27,59,121,9,11,7,30,101,2,5,24,32,57,11,72,8,19,1,9,10,8,3,25,0,3,21,13,38,10,0,46,18,24,37,27,93,7,15,19,0,9,9,27,4,2,19,19,80,1,2,11,0,0,7,51,12,3,19,0,2,5,4,12,0,1
じ,129,1034,1555,88,50,214,405,809,38,102,68,304,502,11,25,184,253,318,82,397,123,127,27,46,101,34,19,106,0,11,119,98,173,29,34,237,122,164,299,311,556,66,120,75,0,57,88,126,20,65,26,195,256,13,6,68,0,0,49,299,78,52,88,10,24,30,13,72,4,10
ず,5,35,59,4,2,8,17,31,3,5,5,16,11,0,0,8,10,23,3,18,7,7,0,3,7,3,0,13,0,0,7,8,6,4,2,5,1,6,24,13,19,7,4,3,0,5,1,3,0,3,1,6,18,2,0,9,0,0,4,16,6,3,2,1,2,0,0,4,0,0
ぜ,17,521,220,5,7,20,67,113,9,10,9,32,55,3,2,20,32,45,7,45,8,11,0,6,5,6,3,13,1,0,15,18,19,2,1,31,6,18,43,20,42,4,15,4,0,9,23,7,1,7,6,21,17,6,0,8,0,1,4,22,7,4,15,0,1,3,1,11,1,0
ぞ,10,58,96,3,3,16,18,55,6,1,5,14,16,0,0,5,10,25,2,23,7,5,0,2,3,4,0,7,0,2,9,6,7,5,0,7,4,8,6,12,12,0,7,1,0,6,3,9,3,5,1,11,8,0,3,5,0,0,1,9,2,6,3,1,0,1,0,4,0,0
だ,66,632,709,39,32,78,182,327,33,43,25,146,224,6,12,80,113,133,34,185,41,47,3,26,38,18,18,38,0,8,106,39,71,19,10,110,45,106,159,134,235,32,46,57,0,25,43,66,11,26,11,93,78,4,1,49,0,0,20,118,37,21,52,3,9,9,3,40,1,5
ぢ,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
づ,0,3,4,1,0,1,2,1,1,0,0,2,0,0,0,0,2,1,1,2,1,1,0,0,1,1,0,1,0,0,2,2,0,1,1,3,1,0,3,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
で,92,175,286,30,36,81,110,232,17,40,24,65,383,10,7,112,76,74,41,229,56,33,12,30,30,12,7,64,1,2,64,25,103,23,10,78,40,33,91,116,253,39,62,29,0,22,17,69,6,15,23,45,116,3,0,35,0,0,30,164,32,18,45,5,15,21,4,46,0,6
ど,69,324,478,40,23,66,119,291,19,52,22,92,176,4,6,63,87,105,50,153,39,39,9,17,21,15,10,51,3,3,63,36,70,13,19,77,50,50,88,103,172,23,47,48,0,33,35,61,7,31,18,53,84,7,2,28,0,0,11,90,24,14,34,2,11,20,5,43,3,3
ば,100,223,357,14,32,71,100,319,24,37,32,72,255,3,6,121,86,87,41,204,55,44,8,15,24,22,6,61,1,4,59,41,93,13,7,82,56,39,115,105,303,24,52,31,0,27,21,76,9,20,13,50,95,4,2,35,1,0,34,167,43,20,35,3,8,7,3,40,1,1
び,45,130,215,13,19,55,69,158,12,27,25,47,171,3,9,55,43,45,24,120,31,24,6,10,10,6,5,25,0,5,40,18,63,7,4,45,28,21,70,73,172,14,30,25,0,19,9,43,2,15,11,27,63,4,1,23,0,1,22,76,13,47,24,1,11,3,0,27,0,1
ぶ,78,274,429,24,13,104,120,329,30,34,18,80,216,9,11,87,64,123,38,207,55,37,11,13,25,30,10,66,2,2,54,23,79,9,4,63,52,46,81,122,238,15,41,38,0,27,31,94,8,29,26,64,118,5,3,34,1,0,41,163,22,18,59,5,12,8,1,42,0,2
べ,56,112,173,22,19,37,61,139,15,19,14,52,125,6,6,51,43,49,32,157,37,33,11,13,19,10,3,46,1,3,32,21,64,8,5,41,28,24,62,60,161,17,20,16,0,22,15,32,3,14,9,29,53,7,3,24,0,0,16,66,11,8,29,8,6,6,2,25,1,2
ぼ,42,181,279,12,21,41,84,169,12,17,16,67,103,4,10,45,63,83,22,99,30,25,5,8,22,5,8,41,1,0,47,24,54,6,1,54,30,32,50,61,149,19,30,13,0,22,12,45,5,16,7,28,66,9,2,23,0,0,16,61,16,13,24,5,22,4,1,25,1,0
ぱ,82,86,98,10,35,45,47,152,10,24,26,31,240,5,5,60,34,40,34,188,53,30,5,15,26,8,5,45,1,3,39,14,85,7,7,50,33,17,91,68,196,24,29,16,0,16,9,56,1,11,4,35,71,7,3,28,1,0,19,87,13,7,17,2,4,28,5,40,1,7
ぴ,31,36,43,8,24,25,25,71,5,11,8,8,128,0,4,26,22,28,19,92,18,20,3,11,15,0,1,19,0,2,21,4,30,3,9,17,13,16,37,43,118,12,32,6,0,8,6,23,0,9,5,18,43,2,1,13,0,0,17,50,4,2,7,1,6,8,21,13,0,5
ぷ,84,75,72,7,23,46,25,117,8,25,29,31,235,5,6,69,29,37,36,175,38,20,2,13,16,13,1,44,1,2,40,11,98,5,7,58,25,19,69,51,177,13,18,13,0,16,6,69,6,8,5,24,49,10,2,23,0,0,5,80,16,5,21,2,7,9,3,39,3,3
ぺ,32,33,46,6,8,20,25,78,6,20,11,15,151,0,3,34,28,19,13,79,20,17,3,9,18,4,2,24,1,1,11,5,24,2,5,18,13,11,39,35,96,14,19,6,0,3,2,25,2,6,6,13,28,6,1,14,0,0,4,26,7,1,6,2,0,5,4,12,12,1
ぽ,35,51,58,22,13,26,22,100,4,23,7,22,150,5,3,48,22,37,24,96,24,22,7,11,21,2,2,32,0,0,14,9,49,4,4,27,20,15,41,39,110,25,26,11,0,8,5,32,2,11,4,21,38,1,1,11,0,0,8,50,8,6,17,3,4,7,4,22,7,13
